,Date,Time,Latitude,Longitude,full_date,coordinates,address
0,2011-08-29,6:56:58 PM,42.3916233333,-88.0891633333,2011-08-29 18:56:58,"42.3916233333, -88.0891633333","Ridgewood Lane, Lake Villa, Lake County, Illinois, 60073, United States of America"
1,2011-08-29,6:57:08 PM,42.3913483333,-88.0891633333,2011-08-29 18:57:08,"42.3913483333, -88.0891633333","Ridgewood Lane, Lake Villa, Lake County, Illinois, 60073, United States of America"
2,2011-08-29,6:57:18 PM,42.3910216667,-88.0891566667,2011-08-29 18:57:18,"42.3910216667, -88.0891566667","Ridgewood Lane, Lake Villa, Lake County, Illinois, 60073, United States of America"
3,2011-08-29,6:57:28 PM,42.3906366667,-88.0891583333,2011-08-29 18:57:28,"42.3906366667, -88.0891583333","Ridgewood Lane, Lake Villa, Lake County, Illinois, 60073, United States of America"
4,2011-08-29,6:57:38 PM,42.39041,-88.0888583333,2011-08-29 18:57:38,"42.39041, -88.0888583333","Ridgewood Lane, Lake Villa, Lake County, Illinois, 60073, United States of America"
5,2011-08-29,6:57:48 PM,42.390395,-88.088315,2011-08-29 18:57:48,"42.390395, -88.088315","Beverly Drive, Lake Villa, Lake County, Illinois, 60073, United States of America"
6,2011-08-29,6:57:58 PM,42.3906733333,-88.0880016667,2011-08-29 18:57:58,"42.3906733333, -88.0880016667","Beverly Drive, Lake Villa, Lake County, Illinois, 60073, United States of America"
7,2011-08-29,6:58:08 PM,42.3910266667,-88.0880016667,2011-08-29 18:58:08,"42.3910266667, -88.0880016667","Beverly Drive, Lake Villa, Lake County, Illinois, 60073, United States of America"
8,2011-08-29,6:58:18 PM,42.3914033333,-88.0880033333,2011-08-29 18:58:18,"42.3914033333, -88.0880033333","Beverly Drive, Lake Villa, Lake County, Illinois, 60073, United States of America"
9,2011-08-29,6:58:28 PM,42.3917183333,-88.087995,2011-08-29 18:58:28,"42.3917183333, -88.087995","Beverly Drive, Lake Villa, Lake County, Illinois, 60073, United States of America"
10,2011-08-29,6:58:38 PM,42.3920383333,-88.0879883333,2011-08-29 18:58:38,"42.3920383333, -88.0879883333","Beverly Drive, Lake Villa, Lake County, Illinois, 60073, United States of America"
11,2011-08-29,6:58:48 PM,42.39241,-88.0880783333,2011-08-29 18:58:48,"42.39241, -88.0880783333","Beverly Drive, Lake Villa, Lake County, Illinois, 60073, United States of America"
12,2011-08-29,6:58:58 PM,42.3928,-88.0883316667,2011-08-29 18:58:58,"42.3928, -88.0883316667","Beverly Drive, Lake Villa, Lake County, Illinois, 60073, United States of America"
13,2011-08-29,6:59:08 PM,42.3932566667,-88.08837,2011-08-29 18:59:08,"42.3932566667, -88.08837","Beverly Drive, Lake Villa, Lake County, Illinois, 60073, United States of America"
14,2011-08-29,6:59:18 PM,42.3936,-88.0882316667,2011-08-29 18:59:18,"42.3936, -88.0882316667","Beverly Drive, Lake Villa, Lake County, Illinois, 60073, United States of America"
15,2011-08-29,7:00:08 PM,42.3932033333,-88.0884166667,2011-08-29 19:00:08,"42.3932033333, -88.0884166667","Beverly Drive, Lake Villa, Lake County, Illinois, 60073, United States of America"
16,2011-08-29,7:00:18 PM,42.3927916667,-88.0883116667,2011-08-29 19:00:18,"42.3927916667, -88.0883116667","Beverly Drive, Lake Villa, Lake County, Illinois, 60073, United States of America"
17,2011-08-29,7:00:28 PM,42.3924766667,-88.08821,2011-08-29 19:00:28,"42.3924766667, -88.08821","Ridgewood Lane, Lake Villa, Lake County, Illinois, 60073, United States of America"
18,2011-08-29,7:00:38 PM,42.392385,-88.0886966667,2011-08-29 19:00:38,"42.392385, -88.0886966667","Ridgewood Lane, Lake Villa, Lake County, Illinois, 60073, United States of America"
19,2011-08-29,7:00:48 PM,42.3920983333,-88.0891133333,2011-08-29 19:00:48,"42.3920983333, -88.0891133333","Ridgewood Lane, Lake Villa, Lake County, Illinois, 60073, United States of America"
20,2011-08-29,7:00:58 PM,42.39218,-88.0894983333,2011-08-29 19:00:58,"42.39218, -88.0894983333","Cedar Ridge Drive, Lake Villa, Lake County, Illinois, 60073, United States of America"
21,2011-08-29,7:01:08 PM,42.3924283333,-88.08979,2011-08-29 19:01:08,"42.3924283333, -88.08979","Cedar Ridge Drive, Lake Villa, Lake County, Illinois, 60073, United States of America"
