Date,AvgSpeed_1,AvgSpeed_2,Cool_1,Cool_2,Depart_1,DewPoint_1,DewPoint_2,Heat_1,Heat_2,PrecipTotal_1,PrecipTotal_2,ResultDir_1,ResultDir_2,ResultSpeed_1,ResultSpeed_2,SeaLevel_1,SeaLevel_2,SnowFall_1,StnPressure_1,StnPressure_2,Sunrise_1,Sunset_1,Tavg_1,Tavg_2,Tmax_1,Tmax_2,Tmin_1,Tmin_2,WetBulb_1,WetBulb_2
2007-05-01,9.2,9.6,2.0,3.0,14.0,51,51,0.0,0.0,0.0,0.0,27,25,1.7,2.7,29.82,29.82,0.0,29.1,29.18,4.8,18.816666666666666,67.0,68.0,83,84,50,52,56.0,57.0
2007-05-02,13.4,13.4,0.0,0.0,-3.0,42,42,14.0,13.0,0.0,0.0,4,2,13.0,13.3,30.09,30.08,0.0,29.38,29.44,4.783333333333333,18.833333333333332,51.0,52.0,59,60,42,43,47.0,47.0
2007-05-03,11.9,13.2,0.0,0.0,2.0,40,40,9.0,7.0,0.0,0.0,7,6,11.7,12.9,30.12,30.12,0.0,29.39,29.46,4.766666666666667,18.85,56.0,58.0,66,67,46,48,48.0,50.0
2007-05-04,10.8,10.4,0.0,0.0,4.0,41,42,7.0,7.0,0.001,0.0,8,7,10.4,10.1,30.05,30.04,0.0,29.31,29.36,4.733333333333333,18.866666666666667,58.0,58.0,66,78,49,51,50.0,50.0
2007-05-05,12.0,11.5,0.0,0.0,5.0,38,39,5.0,5.0,0.001,0.001,7,7,11.7,11.2,30.1,30.09,0.0,29.4,29.46,4.716666666666667,18.883333333333333,60.0,60.0,66,66,53,54,49.0,50.0
2007-05-06,15.0,14.5,0.0,0.0,4.0,30,30,6.0,5.0,0.0,0.0,11,10,14.4,13.8,30.29,30.28,0.0,29.57,29.62,4.7,18.916666666666668,59.0,60.0,68,68,49,52,46.0,46.0
2007-05-07,10.5,9.9,0.0,2.0,10.0,41,39,0.0,0.0,0.001,0.0,18,17,8.6,8.5,30.12,30.12,0.0,29.38,29.44,4.683333333333334,18.933333333333334,65.0,67.0,83,84,47,50,54.0,53.0
2007-05-08,5.8,5.4,3.0,5.0,12.0,58,57,0.0,0.0,0.0,0.001,11,8,2.7,2.5,30.03,30.02,0.0,29.29,29.36,4.65,18.95,68.0,70.0,82,80,54,60,62.0,63.0
2007-05-09,6.2,5.9,4.0,5.0,13.0,59,60,0.0,0.0,0.13,0.02,9,7,3.9,3.9,29.94,29.93,0.0,29.21,29.28,4.633333333333333,18.966666666666665,69.0,70.0,77,76,61,63,63.0,63.0
2007-05-10,4.1,3.9,5.0,6.0,14.0,52,52,0.0,0.0,0.0,0.0,17,9,0.7,2.0,29.92,29.91,0.0,29.2,29.26,4.616666666666667,18.983333333333334,70.0,71.0,84,83,56,59,60.0,61.0
2007-05-11,12.9,12.8,0.0,0.0,4.0,42,44,4.0,4.0,0.0,0.0,3,36,11.3,11.7,30.04,30.03,0.0,29.33,29.39,4.6,19.0,61.0,61.0,70,73,51,49,51.0,51.0
2007-05-12,12.9,13.0,0.0,0.0,-2.0,36,37,10.0,9.0,0.0,0.0,3,1,12.4,12.7,30.2,30.19,0.0,29.49,29.54,4.583333333333333,19.016666666666666,55.0,56.0,64,65,46,47,46.0,46.0
2007-05-13,8.1,7.6,0.0,0.0,-2.0,33,32,9.0,8.0,0.0,0.0,14,11,6.6,6.4,30.24,30.24,0.0,29.49,29.55,4.566666666666666,19.033333333333335,56.0,57.0,69,69,43,44,46.0,46.0
2007-05-14,17.3,14.6,8.0,7.0,15.0,47,45,0.0,0.0,0.0,0.0,21,21,16.9,14.1,29.97,29.98,0.0,29.23,29.31,4.55,19.05,73.0,72.0,90,90,56,54,59.0,58.0
2007-05-15,12.3,10.8,4.0,4.0,11.0,56,56,0.0,0.0,0.38,0.6,27,25,8.1,8.1,29.84,29.83,0.0,29.13,29.19,4.533333333333333,19.066666666666666,69.0,69.0,80,82,57,56,61.0,61.0
2007-05-16,12.2,11.8,0.0,0.0,-4.0,43,42,10.0,10.0,0.14,0.07,36,36,7.8,8.0,30.03,30.03,0.0,29.33,29.39,4.516666666666667,19.083333333333332,55.0,55.0,66,64,44,45,48.0,47.0
2007-05-17,11.3,12.2,0.0,0.0,-6.0,32,32,12.0,12.0,0.0,0.0,3,1,10.5,11.7,30.27,30.27,0.0,29.55,29.62,4.5,19.1,53.0,53.0,62,61,43,44,43.0,43.0
2007-05-18,7.5,5.5,0.0,0.0,-3.0,30,31,8.0,8.0,0.0,0.0,25,22,5.4,3.4,30.25,30.26,0.0,29.53,29.6,4.483333333333333,19.116666666666667,57.0,57.0,71,70,42,43,46.0,47.0
2007-05-19,11.4,11.4,3.0,3.0,8.0,39,37,0.0,0.0,0.0,0.0,24,23,11.1,11.1,30.08,30.08,0.0,29.34,29.41,4.466666666666667,19.133333333333333,68.0,68.0,80,80,56,56,53.0,53.0
2007-05-20,10.7,9.7,0.0,0.0,-5.0,40,41,9.0,8.0,0.07,0.11,4,3,10.4,8.6,30.11,30.11,0.0,29.38,29.44,4.45,19.15,56.0,57.0,69,69,43,44,44.0,45.0
2007-05-21,8.2,7.8,0.0,0.0,1.0,50,50,3.0,2.0,0.0,0.0,11,10,6.3,6.3,30.06,30.05,0.0,29.33,29.39,4.433333333333334,19.166666666666668,62.0,63.0,80,79,44,46,56.0,57.0
2007-05-22,10.2,10.6,6.0,9.0,10.0,46,44,0.0,0.0,0.0,0.0,18,16,10.0,10.1,30.06,30.05,0.0,29.34,29.41,4.416666666666667,19.183333333333334,71.0,74.0,87,87,55,60,58.0,58.0
2007-05-23,11.8,11.2,10.0,13.0,14.0,49,48,0.0,0.0,0.0,0.0,19,18,11.4,10.9,30.1,30.1,0.0,29.39,29.47,4.416666666666667,19.2,75.0,78.0,89,89,60,66,61.0,61.0
